Name,BSE Code,NSE Code,Industry,Current Price,Price to Earning,Market Capitalization,Return on capital employed,EPS last year,Return on equity,Book value,Price to book value,Graham Number,Historical PE 7Years,Current ratio,PEG Ratio,Debt to equity,Altman Z Score,Piotroski score,NPM last year,Sales growth 3Years,EPS,Industry PE,Quick ratio,Debtor days,Number of equity shares,Intrinsic Value,Enterprise Value,Pledged percentage,Promoter holding,Earnings yield,Free cash flow 3years,G Factor,Return on assets
Vijaya Diagnost.,543350,VIJAYA,Healthcare,909.80,64.92,9337.85,21.68,13.94,19.80,77.53,11.74,155.94,53.22,1.89,3.25,0.40,13.87,7.00,21.22,13.80,13.94,48.04,1.86,7.91,10.26,299.91,9608.54,0.00,53.91,2.30,270.55,3.00,12.81
Vikram Thermo,530477,,Chemicals,184.15,18.05,577.45,30.67,8.08,24.89,33.49,5.50,46.37,14.23,3.86,0.43,0.06,10.86,8.00,20.01,19.75,2.85,29.91,3.35,113.51,3.14,90.64,581.59,0.00,65.94,7.77,16.30,6.00,18.74
Vilas Transcore,,VILAS,Steel - Medium / Small,382.00,35.79,935.14,20.84,12.82,15.11,109.72,3.48,175.23,29.04,4.14,,0.06,7.54,7.00,7.23,32.67,12.44,24.59,3.30,45.88,2.45,213.52,802.83,0.00,73.21,4.79,71.94,5.00,11.48
Vimta Labs,524394,VIMTALABS,Miscellaneous,1037.95,34.57,2307.83,25.15,30.29,19.20,170.39,6.09,340.75,23.27,2.92,0.60,0.02,10.76,7.00,19.41,7.62,30.29,45.61,2.53,112.73,2.22,536.13,2283.40,0.00,36.70,3.98,40.73,5.00,15.48
Vinati Organics,524200,VINATIORGA,Chemicals,1778.20,44.39,18433.82,20.56,40.05,15.75,270.75,6.57,493.97,46.80,3.28,9.95,0.02,11.76,8.00,18.47,11.64,40.05,29.91,2.55,96.40,10.37,934.24,18492.93,0.84,74.28,2.97,632.99,4.00,13.64
Vinsys IT Serv.,,VINSYS,Computers - Education,407.95,23.18,598.79,32.75,15.61,36.51,76.27,5.35,173.78,21.53,3.38,,0.27,9.43,4.00,13.44,103.20,17.60,31.37,3.38,93.06,1.47,735.12,620.99,0.00,68.15,5.14,-30.90,5.00,21.76
Vintage Coffee,538920,VINCOFE,Trading,98.64,30.19,1212.12,15.48,3.27,17.11,24.65,4.00,42.57,62.25,4.46,,0.27,7.51,5.00,13.01,103.54,3.27,47.36,2.87,93.49,12.29,99.43,1287.27,27.38,38.68,3.89,-60.84,3.00,11.52
Vinyas Innovativ,,VINYAS,Electronics - Components,901.65,67.86,1134.70,19.47,12.20,17.64,107.43,8.39,179.21,64.15,1.64,,0.69,9.18,5.00,4.83,15.66,13.29,50.12,1.09,101.33,1.26,223.96,1220.53,0.00,29.39,2.81,-37.10,4.00,5.84
Vinyl Chemicals,524129,VINYLINDIA,Trading,304.10,24.97,557.63,24.91,12.18,18.35,69.08,4.40,137.58,22.80,1.93,0.88,0.00,7.42,7.00,3.57,-10.26,12.18,28.96,1.46,61.17,1.83,214.16,546.57,0.00,50.41,5.57,38.60,4.00,7.87
Virat Crane Inds,519457,,Food - Processing - Indian,50.46,11.03,103.04,18.45,4.96,17.15,33.47,1.51,58.69,10.40,2.71,1.34,0.01,5.48,8.00,7.53,16.53,4.57,31.16,2.33,43.07,2.04,66.29,103.01,0.00,74.50,11.24,-3.91,3.00,12.77
Vishnu Chemicals,516072,VISHNU,Chemicals,457.45,24.32,3079.34,17.98,18.81,15.56,137.67,3.32,241.41,15.39,1.70,0.58,0.37,5.50,6.00,8.75,10.61,18.81,29.91,0.88,74.19,6.73,441.42,3339.88,0.00,69.21,6.15,-31.39,6.00,8.56
Vishnu Prakash R,543974,VPRPL,Construction,181.41,20.65,2261.17,24.71,9.80,23.59,60.93,2.98,109.73,20.78,1.57,0.35,0.74,4.30,4.00,8.29,44.93,8.78,20.84,1.00,165.98,12.46,275.18,2746.80,0.00,67.81,7.66,-473.57,4.00,10.32
Vishnusurya,,VISHNUINFR,Mining / Minerals / Metals,195.95,18.08,482.23,34.46,11.21,29.41,61.25,3.20,122.21,17.19,1.73,,0.25,6.16,5.00,11.97,53.92,10.84,17.64,1.71,25.02,2.46,373.68,511.40,35.71,62.22,7.96,-49.59,6.00,19.12
Voler Car,,VOLERCAR,Miscellaneous,98.30,28.38,109.54,149.21,281.19,389.90,,,,0.34,2.31,,0.04,13.03,8.00,12.49,5.72,281.19,26.75,2.31,43.59,1.11,,104.55,0.00,67.87,4.97,8.37,2.00,35.71
Volt.Transform.,532757,VOLTAMP,Electric Equipment,8579.00,26.67,8679.48,29.71,321.64,22.13,1569.24,5.47,3369.95,15.84,4.44,0.88,0.00,11.35,5.00,16.82,19.72,321.64,44.87,2.96,55.22,1.01,6677.41,8642.82,0.00,38.00,5.06,518.41,5.00,19.74
Vruddhi Engineer,544157,,Trading,161.20,73.96,40.68,21.92,3.09,23.70,30.16,5.35,40.46,78.32,1.80,,0.47,7.05,5.00,2.61,,2.41,28.96,1.58,100.20,0.25,174.70,43.93,0.00,72.05,2.19,-3.54,3.00,5.90
Waaree Energies,544277,WAAREEENER,Electric Equipment,2921.10,44.87,83918.30,35.12,65.00,27.57,329.96,8.85,694.68,47.48,1.55,0.39,0.13,9.00,6.00,13.37,71.69,65.00,44.87,1.23,29.94,28.73,2491.49,77369.47,0.00,64.30,3.52,1551.70,6.00,12.45
Websol Energy,517498,WEBELSOLAR,Electric Equipment,1474.20,41.36,6400.44,59.15,35.64,80.22,64.04,23.02,226.62,35.44,1.91,0.60,0.55,23.40,8.00,26.89,39.23,35.64,44.87,1.51,2.89,4.34,415.08,6466.89,91.76,27.70,3.31,-78.42,5.00,35.69
Welspun Living,514162,WELSPUNLIV,Textiles - Products,149.07,22.71,14486.75,16.10,7.01,15.62,46.90,3.18,84.23,18.19,1.55,1.73,0.69,4.67,8.00,6.94,9.66,6.72,23.77,0.94,47.31,97.18,81.89,17420.04,0.00,66.24,6.64,865.51,3.00,7.46
Wendt India,505412,WENDT,Abrasives And Grinding Wheels,8492.50,43.02,1698.50,22.43,197.40,17.32,1218.45,6.97,2326.32,50.39,3.34,1.24,0.01,12.03,5.00,16.89,9.34,197.40,52.33,2.66,106.74,0.20,2806.13,1681.30,0.00,75.00,3.05,15.45,3.00,14.19
Winsol,,WINSOL,Engineering - Turnkey Services,212.40,22.48,245.01,53.08,10.31,67.08,37.76,5.62,96.46,17.58,3.08,,0.23,9.86,7.00,11.59,50.25,10.95,33.15,2.20,121.02,1.15,211.45,253.82,0.00,73.46,6.02,2.83,6.00,25.78
Wise Travel,,WTICAB,Miscellaneous,146.90,15.77,349.80,26.45,9.75,22.44,67.43,2.18,118.88,18.42,2.03,,0.33,5.12,7.00,5.17,113.37,9.31,41.10,2.03,76.18,2.38,440.01,321.23,0.00,69.97,10.96,-17.42,5.00,11.78
WOL 3D,,WOL3D,Trading,132.00,16.93,85.17,50.21,16.77,61.79,51.53,2.56,139.43,8.26,3.29,,0.18,6.06,7.00,12.71,34.31,16.77,28.96,2.01,36.97,0.65,347.84,71.29,0.00,65.48,10.14,-1.26,5.00,26.15
Womancart,,WOMANCART,Trading,270.10,18.62,133.70,18.28,14.50,17.29,134.38,2.01,209.41,36.41,3.39,,0.22,5.23,4.00,12.15,,14.50,47.34,1.64,36.62,0.50,747.76,136.99,0.00,40.06,7.09,-55.52,5.00,12.24
WPIL,505872,,Engineering - Turnkey Services,441.30,21.37,4310.21,20.42,48.62,46.17,138.24,3.19,248.57,11.61,2.05,0.70,0.30,4.71,7.00,41.04,18.71,19.86,33.15,1.66,160.43,9.77,303.66,4139.00,0.00,70.80,8.11,114.01,3.00,28.29
Yash Optics,,YASHOPTICS,Personal Care - Indian,84.00,22.42,208.03,32.52,4.95,36.91,34.46,2.44,58.64,17.46,13.95,,0.19,5.71,3.00,21.94,40.07,4.44,41.57,9.99,104.68,2.48,227.86,190.78,0.00,73.06,7.40,-33.41,3.00,19.07
Yatharth Hospit.,543950,YATHARTH,Healthcare,506.70,37.51,4882.28,23.88,13.33,21.66,96.75,5.24,179.35,36.47,7.40,0.39,0.10,10.15,5.00,18.04,43.39,14.78,48.04,7.20,130.56,9.64,516.93,4728.23,13.81,61.64,3.69,-31.89,4.00,15.21
Yuranus Infrast.,536846,,Trading,69.26,1212.00,24.24,67.47,4.14,49.66,10.37,6.68,3.65,53.91,3.21,12.61,0.32,16.04,6.00,1.98,532.56,0.06,28.96,3.21,7.96,0.35,4.44,22.05,0.00,66.59,0.77,-1.23,5.00,38.36
Z-Tech,,ZTECH,Recreation / Amusement Parks,546.75,56.78,783.51,63.59,8.29,48.90,45.53,12.01,108.75,48.42,3.32,,0.03,19.54,5.00,11.59,42.06,11.54,44.06,3.26,154.58,1.43,312.56,776.20,0.00,54.25,2.33,-4.90,4.00,23.88
Zen Technologies,533339,ZENTEC,Miscellaneous,1794.80,76.26,16205.31,45.97,15.22,33.01,172.89,10.38,309.58,76.02,7.00,1.34,0.04,16.83,6.00,29.06,100.42,24.64,53.90,6.35,153.10,9.03,1021.17,15161.84,0.00,49.05,2.04,37.93,4.00,20.88
Zenith,,ZENITHDRUG,Pharmaceuticals - Indian - Formulations,80.90,14.50,138.73,27.44,5.56,26.44,39.62,2.04,70.49,14.81,1.82,,0.58,4.04,6.00,8.03,22.47,5.57,38.92,1.33,186.88,1.71,126.69,177.31,0.00,69.98,7.99,-21.43,2.00,9.14
Zensar Tech.,504067,ZENSARTECH,Computers - Software - Medium / Small,798.75,27.92,18140.36,22.03,28.61,17.03,179.20,4.46,339.65,21.39,3.76,1.35,0.03,8.87,4.00,12.31,7.56,28.61,30.87,3.76,54.61,22.71,391.63,17521.96,0.00,49.07,4.99,1837.60,3.00,13.23
Zydus Lifesci.,532321,ZYDUSLIFE,Pharmaceuticals - Indian - Bulk Drugs & Formln,902.70,20.03,90832.74,22.34,38.36,20.67,216.89,4.16,469.08,22.09,2.27,1.21,0.01,7.20,8.00,20.33,10.72,45.09,30.75,1.58,97.47,100.62,479.81,89429.64,0.00,74.98,6.74,5092.30,5.00,14.61
